emotion,user_id,true_dominant,predicted_dominant,product_id,product_name,category_en,fit,variant,backend,model,cache_hit,latency_seconds,ad_text
angry,u05,angry,angry,p02,Sakinlik+,mindfulness app,natural,full,groq,llama-3.3-70b-versatile,True,0.977,"Günün stresini ve öfkesini atmak için Sakinlik+ mobil uygulamasını deneyin, 5 dakika meditasyonlarla ruhunuzu dinlendirin ve günlük duygu günlüğünüzle duygularınızı takip edin, ücretsiz olarak başlayın veya Premium üyelikle sakin bir uyku için uyku seslerine erişin."
angry,u05,angry,angry,p02,Sakinlik+,mindfulness app,natural,random,groq,llama-3.3-70b-versatile,True,3.087,"Korkularınla başa çıkmak için yeni bir yol dene, Sakinlik+ ile 5 dakika süren meditasyonlar ve günlük duygu günlüğü sayesinde iç huzuruna kavuş. Uyku sesleri ile rahat uyku uyumaya başla, Sakinlik+ ücretsiz olarak indirilmeye hazır, Premium sürüm için sadece 49 TL/ay."
angry,u05,angry,angry,p02,Sakinlik+,mindfulness app,natural,generic,groq,llama-3.3-70b-versatile,True,2.961,"Sakinlik+ uygulamasıyla günlük hayatın stresini geride bırakın. 5 dakika süren meditasyonlar, uyku sesleri ve günlük duygu günlüğü ile ruhunuzu dinlendirebilir, daha dengeli bir yaşam sürdürebilirsiniz. Ücretsiz olarak indirip deneyimleyin veya premium sürüme geçerek daha fazla özellik keşfedin."
angry,u05,angry,angry,p05,FormaSet,fitness program,adjacent,full,groq,llama-3.3-70b-versatile,False,4.095,"Öfkeni boşaltmak ister misin? FormaSet ile evde hanya 20 dakika antrenman yaparak stresini atabilir, gününü güzelleştirebilirsin. Yeni başlayanlar için uygun, ilerleme takibini de içeren bu dijital fitness paketi, sadece 299 TL'ye tek seferlik satın alınabilir."
angry,u05,angry,angry,p05,FormaSet,fitness program,adjacent,random,groq,llama-3.3-70b-versatile,False,3.032,"Korkularınla başa çıkmak için güçlü bir bedene ihtiyaç var, FormaSet ile evde sadece 20 dakika antrenman yaparak kendinizi güvende hissedebilirsiniz, 4 haftada görülebilecek ilerlemelerle yeni başlayanlardan ileri seviyeye kadar herkes için uygun bir program sunuyor, şimdi 299 TL'ye sahip olabilirsin."
angry,u05,angry,angry,p05,FormaSet,fitness program,adjacent,generic,groq,llama-3.3-70b-versatile,False,2.954,"FormaSet ile evde sadece 20 dakika ayırarak yeni başlayan veya ileri seviye antrenman programlarına başlayabilir, Türkçe video rehberleriyle ilerlemenizi takip edebilirsiniz, tüm bunlar sadece 299 TL'ye, tek seferlik ödeyerek FormaSet'in avantajlarından yararlanabilirsiniz."
fear,u09,fear,fear,p06,GeceMarşı,wellness drink,natural,full,groq,llama-3.3-70b-versatile,False,2.934,"GeceMarşı ile uykuya dalırken kaygılardan kurtul, papatya ve melisa karışımı olan bu doğal bitki çayı serisi, kafeinsiz ve rahatlatıcı bir uyku için seni bekliyor, 20'li paket sadece 89 TL."
fear,u09,fear,fear,p06,GeceMarşı,wellness drink,natural,random,groq,llama-3.3-70b-versatile,False,2.936,"GeceMarşı ile uyku öncesi rahatlayın, papatya ve melisa karışımı sayesinde günün yorgunluğunu geride bırakın, kafeinsiz ve doğal bitki özleriyle hazırlanmış bu bitki çayı serisi, 20'li paket sadece 89 TL."
fear,u09,fear,fear,p06,GeceMarşı,wellness drink,natural,generic,groq,llama-3.3-70b-versatile,False,3.041,"GeceMarşı ile uykuya dalma zamanı geldiğinde rahatlayın. Papatya ve melisa karışımı ile hazırlanan bu doğal bitki çayı, kafeinsiz içeriğiyle gece yatmadan önce içildiğinde zihninizi ve bedeninizi sakinleştirecektir. 20'li paket sadece 89 TL'den başlayan fiyatlarla GeceMarşı'nı şimdi keşfedin."
fear,u09,fear,fear,p10,EvGözcü,smart home device,adjacent,full,groq,llama-3.3-70b-versatile,False,3.053,"Evde güvende olmak için EvGözcü'nü tercih edin, 1080p gece görüşü ve anlık hareket uyarısı ile her anı kontrol altında tutun, böylece korkularınızın yerini huzur bulur, basit kurulum ile hemen kullanmaya başlayın, sadece 899 TL."
fear,u09,fear,fear,p10,EvGözcü,smart home device,adjacent,random,groq,llama-3.3-70b-versatile,False,3.379,"Evde güvende hissetmek sometimes tüm dertlerin çözümü gibi geliyor. EvGözcü ile telefondan canlı izleme yapabilir, hareket bildirimleri alabilir ve 1080p gece görüşü ile her an evinizi korurken, zihninizi de rahatlatırsınız."
